monster1,monster2,m1_win_pct,m2_win_pct,balance
Baboon,Sprite,41.5,58.5,41.5
Barbed Devil,Troll,58.5,41.5,41.5
Bat,Crab,58.5,41.5,41.5
Black Dragon Wyrmling,Green Dragon Wyrmling,41.5,58.5,41.5
Black Pudding,Centaur,41.5,58.5,41.5
Blood Hawk,Pseudodragon,58.5,41.5,41.5
Brass Dragon Wyrmling,Lion,41.5,58.5,41.5
Brass Dragon Wyrmling,Satyr,41.5,58.5,41.5
Chain Devil,Xorn,41.5,58.5,41.5
Cloaker,Ogre Zombie,58.5,41.5,41.5
Constrictor Snake,Magma Mephit,58.5,41.5,41.5
Crab,Sprite,41.5,58.5,41.5
Cultist,Giant Badger,41.5,58.5,41.5
Deep Gnome (Svirfneblin),Rust Monster,41.5,58.5,41.5
Deva,Water Elemental,41.5,58.5,41.5
Dire Wolf,Green Dragon Wyrmling,58.5,41.5,41.5
Eagle,Homunculus,58.5,41.5,41.5
Elk,Giant Crab,58.5,41.5,41.5
Elk,Giant Sea Horse,58.5,41.5,41.5
Ettercap,Swarm of Poisonous Snakes,41.5,58.5,41.5
Ettercap,Warhorse Skeleton,58.5,41.5,41.5
Flying Sword,Orc,41.5,58.5,41.5
Gargoyle,Will-o'-Wisp,41.5,58.5,41.5
Ghoul,Satyr,41.5,58.5,41.5
Ghoul,Thug,58.5,41.5,41.5
Giant Ape,Glabrezu,58.5,41.5,41.5
Giant Elk,"Wereboar, Human Form",41.5,58.5,41.5
Giant Frog,Wolf,41.5,58.5,41.5
Giant Goat,Spy,58.5,41.5,41.5
Giant Hyena,Polar Bear,58.5,41.5,41.5
Giant Lizard,Orc,41.5,58.5,41.5
Giant Owl,Shadow,58.5,41.5,41.5
Giant Rat,Pseudodragon,58.5,41.5,41.5
Giant Rat (Diseased),Pseudodragon,58.5,41.5,41.5
Giant Scorpion,Merrow,41.5,58.5,41.5
Giant Toad,White Dragon Wyrmling,41.5,58.5,41.5
Giant Toad,Wight,41.5,58.5,41.5
Giant Vulture,Gnoll,58.5,41.5,41.5
Giant Vulture,Swarm of Rats,58.5,41.5,41.5
Giant Wasp,Magma Mephit,58.5,41.5,41.5
Giant Weasel,Imp,58.5,41.5,41.5
Grimlock,Skeleton,41.5,58.5,41.5
Half-Red Dragon Veteran,"Weretiger, Human Form",41.5,58.5,41.5
Hawk,Jackal,58.5,41.5,41.5
Hunter Shark,Manticore,58.5,41.5,41.5
Jackal,Sprite,41.5,58.5,41.5
Magmin,Sahuagin,58.5,41.5,41.5
Mammoth,Marilith,58.5,41.5,41.5
Nightmare,Red Dragon Wyrmling,41.5,58.5,41.5
Ogre,Unicorn,41.5,58.5,41.5
Oni,Rakshasa,41.5,58.5,41.5
Oni,Vrock,58.5,41.5,41.5
Planetar,Purple Worm,58.5,41.5,41.5
Roper,Young Blue Dragon,41.5,58.5,41.5
Rust Monster,Spy,58.5,41.5,41.5
Stone Golem,Tyrannosaurus Rex,58.5,41.5,41.5
Swarm of Beetles,Swarm of Centipedes,58.5,41.5,41.5
Swarm of Beetles,Swarm of Insects,58.5,41.5,41.5
Swarm of Beetles,Swarm of Spiders,58.5,41.5,41.5
Swarm of Beetles,Swarm of Wasps,58.5,41.5,41.5
Swarm of Centipedes,Swarm of Insects,58.5,41.5,41.5
Swarm of Centipedes,Swarm of Spiders,58.5,41.5,41.5
Swarm of Centipedes,Swarm of Wasps,58.5,41.5,41.5
Swarm of Insects,Swarm of Spiders,58.5,41.5,41.5
Swarm of Insects,Swarm of Wasps,58.5,41.5,41.5
Swarm of Spiders,Swarm of Wasps,58.5,41.5,41.5
Treant,Young Bronze Dragon,58.5,41.5,41.5
"Wereboar, Boar Form","Wereboar, Hybrid Form",58.5,41.5,41.5
Adult Brass Dragon,Young Gold Dragon,59.0,41.0,41.0
Adult Brass Dragon,Young Red Dragon,59.0,41.0,41.0
Ankheg,Giant Hyena,59.0,41.0,41.0
Ankheg,Mummy,41.0,59.0,41.0
Archmage,Bandit Captain,41.0,59.0,41.0
Awakened Shrub,Hyena,41.0,59.0,41.0
Azer,Tiger,59.0,41.0,41.0
Bandit,Grimlock,41.0,59.0,41.0
Barbed Devil,Plesiosaurus,41.0,59.0,41.0
Barbed Devil,"Weretiger, Hybrid Form",41.0,59.0,41.0
Barbed Devil,"Weretiger, Tiger Form",41.0,59.0,41.0
Berserker,Drider,59.0,41.0,41.0
Boar,Noble,41.0,59.0,41.0
Centaur,Giant Hyena,59.0,41.0,41.0
Chuul,"Werebear, Human Form",59.0,41.0,41.0
Cloaker,Gold Dragon Wyrmling,59.0,41.0,41.0
Cloaker,Troll,59.0,41.0,41.0
Copper Dragon Wyrmling,Giant Eagle,59.0,41.0,41.0
Crocodile,Shadow,59.0,41.0,41.0
Deep Gnome (Svirfneblin),Hippogriff,41.0,59.0,41.0
Draft Horse,Swarm of Ravens,59.0,41.0,41.0
Dretch,Giant Weasel,41.0,59.0,41.0
Duergar,Phase Spider,41.0,59.0,41.0
Duergar,Specter,59.0,41.0,41.0
Erinyes,Guardian Naga,41.0,59.0,41.0
Erinyes,Killer Whale,59.0,41.0,41.0
Flying Sword,Swarm of Ravens,41.0,59.0,41.0
Gargoyle,Swarm of Poisonous Snakes,59.0,41.0,41.0
Gargoyle,White Dragon Wyrmling,59.0,41.0,41.0
Ghost,Silver Dragon Wyrmling,59.0,41.0,41.0
Ghoul,Orc,59.0,41.0,41.0
Giant Bat,Orc,41.0,59.0,41.0
Giant Boar,Green Dragon Wyrmling,59.0,41.0,41.0
Giant Eagle,Satyr,59.0,41.0,41.0
Giant Elk,Saber-Toothed Tiger,59.0,41.0,41.0
Giant Frog,Riding Horse,41.0,59.0,41.0
Giant Frog,Skeleton,41.0,59.0,41.0
Giant Goat,"Wererat, Human Form",41.0,59.0,41.0
Giant Hyena,Mimic,59.0,41.0,41.0
Giant Lizard,Spy,41.0,59.0,41.0
Giant Octopus,Succubus/Incubus,41.0,59.0,41.0
Giant Owl,Gnoll,59.0,41.0,41.0
Giant Wolf Spider,Imp,41.0,59.0,41.0
Gibbering Mouther,Will-o'-Wisp,59.0,41.0,41.0
Gnoll,Spy,41.0,59.0,41.0
Gray Ooze,Riding Horse,41.0,59.0,41.0
Green Hag,Water Elemental,41.0,59.0,41.0
Gynosphinx,Lich,59.0,41.0,41.0
Hippogriff,Swarm of Beetles,41.0,59.0,41.0
Hippogriff,Swarm of Centipedes,41.0,59.0,41.0
Hippogriff,Swarm of Insects,41.0,59.0,41.0
Hippogriff,Swarm of Spiders,41.0,59.0,41.0
Hippogriff,Swarm of Wasps,41.0,59.0,41.0
Hobgoblin,Riding Horse,59.0,41.0,41.0
Lizard,Sprite,41.0,59.0,41.0
Lizardfolk,Orc,41.0,59.0,41.0
Mage,Specter,41.0,59.0,41.0
Magma Mephit,Skeleton,41.0,59.0,41.0
Magmin,Skeleton,59.0,41.0,41.0
Orc,Rust Monster,59.0,41.0,41.0
Pegasus,"Weretiger, Human Form",41.0,59.0,41.0
Rat,Scorpion,59.0,41.0,41.0
Roper,Young Bronze Dragon,59.0,41.0,41.0
Skeleton,Wolf,59.0,41.0,41.0
Warhorse Skeleton,Wight,59.0,41.0,41.0
Young Gold Dragon,Young Silver Dragon,59.0,41.0,41.0
Young Red Dragon,Young Silver Dragon,59.0,41.0,41.0
Adult Blue Dragon,Adult Bronze Dragon,59.5,40.5,40.5
Adult Silver Dragon,Nalfeshnee,59.5,40.5,40.5
Ancient White Dragon,Pit Fiend,59.5,40.5,40.5
Awakened Tree,Minotaur Skeleton,40.5,59.5,40.5
Axe Beak,Shadow,40.5,59.5,40.5
Bandit,Boar,59.5,40.5,40.5
Berserker,Ghost,59.5,40.5,40.5
Black Bear,Blink Dog,40.5,59.5,40.5
Black Bear,Giant Crab,59.5,40.5,40.5
Blood Hawk,Steam Mephit,40.5,59.5,40.5
Boar,Dretch,40.5,59.5,40.5
Boar,Violet Fungus,59.5,40.5,40.5
Brass Dragon Wyrmling,Giant Eagle,40.5,59.5,40.5
Brass Dragon Wyrmling,Rust Monster,59.5,40.5,40.5
Bronze Dragon Wyrmling,Giant Octopus,40.5,59.5,40.5
Bronze Dragon Wyrmling,Will-o'-Wisp,59.5,40.5,40.5
Brown Bear,White Dragon Wyrmling,40.5,59.5,40.5
Centaur,Mummy,40.5,59.5,40.5
Chimera,Xorn,40.5,59.5,40.5
Clay Golem,Young Black Dragon,40.5,59.5,40.5
Cockatrice,Giant Sea Horse,59.5,40.5,40.5
Cockatrice,Priest,40.5,59.5,40.5
Copper Dragon Wyrmling,Phase Spider,40.5,59.5,40.5
Crab,Octopus,40.5,59.5,40.5
Crocodile,Giant Goat,59.5,40.5,40.5
Cult Fanatic,Giant Bat,40.5,59.5,40.5
Cult Fanatic,Lizardfolk,40.5,59.5,40.5
Darkmantle,Draft Horse,59.5,40.5,40.5
Darkmantle,Giant Goat,59.5,40.5,40.5
Darkmantle,Reef Shark,59.5,40.5,40.5
Dretch,Quasit,59.5,40.5,40.5
Drow,Giant Crab,59.5,40.5,40.5
Duergar,Worg,40.5,59.5,40.5
Dust Mephit,Priest,40.5,59.5,40.5
Efreeti,Horned Devil,40.5,59.5,40.5
Ettin,Wraith,40.5,59.5,40.5
Flesh Golem,Invisible Stalker,40.5,59.5,40.5
Giant Ape,Roper,59.5,40.5,40.5
Giant Crab,Skeleton,40.5,59.5,40.5
Giant Eagle,Giant Spider,40.5,59.5,40.5
Giant Hyena,Swarm of Quippers,59.5,40.5,40.5
Giant Rat,Steam Mephit,40.5,59.5,40.5
Giant Rat (Diseased),Steam Mephit,40.5,59.5,40.5
Giant Sea Horse,Riding Horse,40.5,59.5,40.5
Giant Weasel,Skeleton,40.5,59.5,40.5
Gladiator,Minotaur,59.5,40.5,40.5
Goblin,Magma Mephit,40.5,59.5,40.5
Gorgon,Mammoth,40.5,59.5,40.5
Half-Red Dragon Veteran,Rhinoceros,59.5,40.5,40.5
Harpy,Specter,40.5,59.5,40.5
Hawk,Poisonous Snake,59.5,40.5,40.5
Hawk,Sprite,59.5,40.5,40.5
Homunculus,Stirge,59.5,40.5,40.5
Knight,Nightmare,40.5,59.5,40.5
Lich,Young Black Dragon,59.5,40.5,40.5
Manticore,Succubus/Incubus,59.5,40.5,40.5
Nalfeshnee,Roc,40.5,59.5,40.5
Noble,Sahuagin,40.5,59.5,40.5
Orc,Swarm of Ravens,59.5,40.5,40.5
Pegasus,Rhinoceros,59.5,40.5,40.5
Priest,Wolf,59.5,40.5,40.5
Quipper,Sprite,59.5,40.5,40.5
Rakshasa,Xorn,40.5,59.5,40.5
Rust Monster,Shadow,59.5,40.5,40.5
Rust Monster,"Wererat, Human Form",40.5,59.5,40.5
Saber-Toothed Tiger,Succubus/Incubus,59.5,40.5,40.5
Sea Hag,Silver Dragon Wyrmling,40.5,59.5,40.5
Sea Hag,Veteran,59.5,40.5,40.5
Triceratops,Young Green Dragon,40.5,59.5,40.5
Wraith,Xorn,40.5,59.5,40.5
Air Elemental,"Vampire, Bat Form",60.0,40.0,40.0
Ancient Black Dragon,Dragon Turtle,60.0,40.0,40.0
Animated Armor,Bugbear,40.0,60.0,40.0
Ankheg,Bandit Captain,40.0,60.0,40.0
Assassin,Rhinoceros,60.0,40.0,40.0
Baboon,Cat,60.0,40.0,40.0
Badger,Giant Fire Beetle,40.0,60.0,40.0
Basilisk,Manticore,40.0,60.0,40.0
Bearded Devil,Mimic,40.0,60.0,40.0
Berserker,Rhinoceros,60.0,40.0,40.0
Berserker,"Wereboar, Human Form",60.0,40.0,40.0
Black Bear,Swarm of Bats,40.0,60.0,40.0
Boar,Steam Mephit,60.0,40.0,40.0
Bronze Dragon Wyrmling,Swarm of Quippers,60.0,40.0,40.0
Bugbear,Giant Octopus,40.0,60.0,40.0
Bugbear,Polar Bear,40.0,60.0,40.0
Bulette,Frost Giant,40.0,60.0,40.0
Bulette,Young Bronze Dragon,60.0,40.0,40.0
Chain Devil,Rakshasa,60.0,40.0,40.0
Chain Devil,"Werebear, Human Form",60.0,40.0,40.0
Chain Devil,Wyvern,60.0,40.0,40.0
Cockatrice,Elk,60.0,40.0,40.0
Copper Dragon Wyrmling,Giant Toad,40.0,60.0,40.0
Cult Fanatic,Swarm of Bats,60.0,40.0,40.0
Dire Wolf,Doppelganger,40.0,60.0,40.0
Djinni,Giant Shark,40.0,60.0,40.0
Drider,Half-Red Dragon Veteran,40.0,60.0,40.0
Dust Mephit,Scout,40.0,60.0,40.0
Efreeti,Frost Giant,40.0,60.0,40.0
Elephant,Killer Whale,40.0,60.0,40.0
Ettercap,Grick,60.0,40.0,40.0
Ettin,Minotaur,40.0,60.0,40.0
Fire Elemental,Red Dragon Wyrmling,60.0,40.0,40.0
Flying Sword,Giant Owl,60.0,40.0,40.0
Flying Sword,Giant Vulture,60.0,40.0,40.0
Gelatinous Cube,Manticore,40.0,60.0,40.0
Giant Bat,Rust Monster,40.0,60.0,40.0
Giant Crab,Riding Horse,40.0,60.0,40.0
Giant Crocodile,Night Hag,60.0,40.0,40.0
Giant Elk,Pegasus,40.0,60.0,40.0
Giant Elk,Rhinoceros,40.0,60.0,40.0
Giant Fire Beetle,Sprite,60.0,40.0,40.0
Giant Frog,Imp,60.0,40.0,40.0
Giant Hyena,Griffon,40.0,60.0,40.0
Giant Hyena,Merrow,60.0,40.0,40.0
Giant Poisonous Snake,Giant Vulture,40.0,60.0,40.0
Giant Poisonous Snake,Swarm of Rats,40.0,60.0,40.0
Giant Sea Horse,Imp,60.0,40.0,40.0
Gray Ooze,Ice Mephit,60.0,40.0,40.0
Green Hag,Wraith,60.0,40.0,40.0
Guardian Naga,Killer Whale,60.0,40.0,40.0
Hezrou,Young Copper Dragon,60.0,40.0,40.0
Hippogriff,Lion,40.0,60.0,40.0
Hippogriff,Satyr,40.0,60.0,40.0
Hydra,Shield Guardian,60.0,40.0,40.0
Lich,Young White Dragon,60.0,40.0,40.0
Lizardfolk,Rust Monster,40.0,60.0,40.0
Noble,Wolf,40.0,60.0,40.0
Ochre Jelly,White Dragon Wyrmling,40.0,60.0,40.0
Orc,Spy,60.0,40.0,40.0
Riding Horse,Shadow,40.0,60.0,40.0
Rust Monster,"Wererat, Hybrid Form",60.0,40.0,40.0
Rust Monster,"Wererat, Rat Form",60.0,40.0,40.0
Salamander,Vrock,60.0,40.0,40.0
Scout,Swarm of Rats,40.0,60.0,40.0
"Werebear, Bear Form","Werebear, Hybrid Form",60.0,40.0,40.0
Acolyte,Lemure,39.5,60.5,39.5
Adult Copper Dragon,Adult White Dragon,39.5,60.5,39.5
Air Elemental,Guardian Naga,39.5,60.5,39.5
Ancient Brass Dragon,Solar,39.5,60.5,39.5
Ankheg,Mimic,60.5,39.5,39.5
Ape,Swarm of Ravens,39.5,60.5,39.5
Archmage,Succubus/Incubus,39.5,60.5,39.5
Bandit,Dryad,60.5,39.5,39.5
Bandit,Giant Weasel,39.5,60.5,39.5
Bandit,Quasit,60.5,39.5,39.5
Bandit Captain,Sea Hag,39.5,60.5,39.5
Barbed Devil,Gold Dragon Wyrmling,60.5,39.5,39.5
Bat,Poisonous Snake,39.5,60.5,39.5
Black Dragon Wyrmling,Swarm of Poisonous Snakes,60.5,39.5,39.5
Blink Dog,Swarm of Rats,39.5,60.5,39.5
Blue Dragon Wyrmling,Half-Red Dragon Veteran,39.5,60.5,39.5
Brass Dragon Wyrmling,Mage,39.5,60.5,39.5
Chuul,Oni,60.5,39.5,39.5
Chuul,Salamander,60.5,39.5,39.5
Cockatrice,Scout,39.5,60.5,39.5
Constrictor Snake,Hobgoblin,39.5,60.5,39.5
Constrictor Snake,Scout,39.5,60.5,39.5
Copper Dragon Wyrmling,Warhorse Skeleton,39.5,60.5,39.5
Cult Fanatic,Shadow,39.5,60.5,39.5
Cultist,Pseudodragon,60.5,39.5,39.5
Darkmantle,Flying Sword,60.5,39.5,39.5
Darkmantle,Giant Bat,60.5,39.5,39.5
Darkmantle,Lizardfolk,60.5,39.5,39.5
Darkmantle,Shadow,60.5,39.5,39.5
Deep Gnome (Svirfneblin),Giant Vulture,60.5,39.5,39.5
Dire Wolf,Giant Scorpion,60.5,39.5,39.5
Djinni,Young Green Dragon,60.5,39.5,39.5
Doppelganger,Succubus/Incubus,39.5,60.5,39.5
Draft Horse,Harpy,39.5,60.5,39.5
Dretch,Dryad,60.5,39.5,39.5
Drider,Giant Elk,60.5,39.5,39.5
Duergar,Warhorse Skeleton,39.5,60.5,39.5
Dust Mephit,Elk,60.5,39.5,39.5
Earth Elemental,Lich,39.5,60.5,39.5
Elephant,Guardian Naga,39.5,60.5,39.5
Erinyes,"Vampire, Vampire Form",39.5,60.5,39.5
Flying Sword,Giant Lizard,60.5,39.5,39.5
Ghoul,Swarm of Ravens,60.5,39.5,39.5
Giant Centipede,Mastiff,60.5,39.5,39.5
Giant Constrictor Snake,Knight,39.5,60.5,39.5
Giant Crocodile,Young Copper Dragon,39.5,60.5,39.5
Giant Elk,Gibbering Mouther,39.5,60.5,39.5
Giant Elk,Silver Dragon Wyrmling,39.5,60.5,39.5
Giant Owl,Thug,39.5,60.5,39.5
Giant Vulture,Swarm of Ravens,39.5,60.5,39.5
Giant Wasp,Hobgoblin,39.5,60.5,39.5
Giant Wasp,Scout,39.5,60.5,39.5
Giant Weasel,Sahuagin,39.5,60.5,39.5
Giant Wolf Spider,Ice Mephit,39.5,60.5,39.5
Hippogriff,Orc,60.5,39.5,39.5
Hippogriff,Warhorse,39.5,60.5,39.5
Ice Mephit,Magmin,39.5,60.5,39.5
Invisible Stalker,Oni,39.5,60.5,39.5
Invisible Stalker,"Werebear, Human Form",39.5,60.5,39.5
Lemure,Mastiff,60.5,39.5,39.5
Manticore,Pegasus,39.5,60.5,39.5
Mummy,Sea Hag,39.5,60.5,39.5
Panther,Scout,39.5,60.5,39.5
Specter,Wight,39.5,60.5,39.5
Adult Black Dragon,Androsphinx,61.0,39.0,39.0
Ankheg,Swarm of Quippers,61.0,39.0,39.0
Archmage,Basilisk,39.0,61.0,39.0
Awakened Shrub,Homunculus,39.0,61.0,39.0
Awakened Tree,Red Dragon Wyrmling,39.0,61.0,39.0
Bandit,Pony,39.0,61.0,39.0
Basilisk,Hunter Shark,39.0,61.0,39.0
Bat,Owl,61.0,39.0,39.0
Bearded Devil,Black Dragon Wyrmling,61.0,39.0,39.0
Berserker,Owlbear,39.0,61.0,39.0
Black Bear,Cockatrice,61.0,39.0,39.0
Black Bear,Magmin,61.0,39.0,39.0
Black Dragon Wyrmling,Black Pudding,39.0,61.0,39.0
Black Dragon Wyrmling,Giant Boar,39.0,61.0,39.0
Black Dragon Wyrmling,White Dragon Wyrmling,61.0,39.0,39.0
Blue Dragon Wyrmling,Manticore,61.0,39.0,39.0
Blue Dragon Wyrmling,Saber-Toothed Tiger,61.0,39.0,39.0
Boar,Giant Wolf Spider,39.0,61.0,39.0
Brass Dragon Wyrmling,Orc,61.0,39.0,39.0
Brown Bear,Wight,61.0,39.0,39.0
Bugbear,Merrow,39.0,61.0,39.0
Bulette,Treant,61.0,39.0,39.0
Chimera,Minotaur,61.0,39.0,39.0
Clay Golem,Young White Dragon,39.0,61.0,39.0
Cockatrice,Giant Crab,61.0,39.0,39.0
Commoner,Goat,39.0,61.0,39.0
Copper Dragon Wyrmling,Satyr,61.0,39.0,39.0
Deep Gnome (Svirfneblin),Swarm of Beetles,39.0,61.0,39.0
Deep Gnome (Svirfneblin),Swarm of Centipedes,39.0,61.0,39.0
Deep Gnome (Svirfneblin),Swarm of Insects,39.0,61.0,39.0
Deep Gnome (Svirfneblin),Swarm of Spiders,39.0,61.0,39.0
Deep Gnome (Svirfneblin),Swarm of Wasps,39.0,61.0,39.0
Deep Gnome (Svirfneblin),Thug,39.0,61.0,39.0
Deer,Hyena,39.0,61.0,39.0
Doppelganger,Giant Elk,39.0,61.0,39.0
Dretch,Pony,39.0,61.0,39.0
Drow,Skeleton,61.0,39.0,39.0
Duergar,Lion,61.0,39.0,39.0
Earth Elemental,Gynosphinx,39.0,61.0,39.0
Earth Elemental,Hezrou,61.0,39.0,39.0
Ettercap,Ochre Jelly,61.0,39.0,39.0
Frost Giant,Tyrannosaurus Rex,39.0,61.0,39.0
Ghost,Unicorn,39.0,61.0,39.0
Giant Bat,Swarm of Ravens,39.0,61.0,39.0
Giant Eagle,Harpy,61.0,39.0,39.0
Giant Eagle,Swarm of Beetles,61.0,39.0,39.0
Giant Eagle,Swarm of Centipedes,61.0,39.0,39.0
Giant Eagle,Swarm of Insects,61.0,39.0,39.0
Giant Eagle,Swarm of Spiders,61.0,39.0,39.0
Giant Eagle,Swarm of Wasps,61.0,39.0,39.0
Giant Hyena,Will-o'-Wisp,61.0,39.0,39.0
Giant Octopus,Saber-Toothed Tiger,39.0,61.0,39.0
Giant Poisonous Snake,Priest,61.0,39.0,39.0
Gibbering Mouther,Ogre,61.0,39.0,39.0
Gibbering Mouther,Spirit Naga,39.0,61.0,39.0
Grimlock,Pony,61.0,39.0,39.0
Gynosphinx,Triceratops,61.0,39.0,39.0
Half-Red Dragon Veteran,"Wereboar, Human Form",61.0,39.0,39.0
Harpy,"Wererat, Human Form",61.0,39.0,39.0
Hell Hound,Swarm of Quippers,61.0,39.0,39.0
Hezrou,Lich,39.0,61.0,39.0
Hippogriff,Rust Monster,61.0,39.0,39.0
Hobgoblin,Reef Shark,39.0,61.0,39.0
Horned Devil,Young Gold Dragon,39.0,61.0,39.0
Horned Devil,Young Red Dragon,39.0,61.0,39.0
Hunter Shark,Owlbear,39.0,61.0,39.0
Killer Whale,"Vampire, Bat Form",61.0,39.0,39.0
Lion,Satyr,61.0,39.0,39.0
Lizardfolk,Swarm of Ravens,39.0,61.0,39.0
Magmin,Zombie,61.0,39.0,39.0
Medusa,Ogre,39.0,61.0,39.0
Minotaur,Xorn,39.0,61.0,39.0
Owl,Quipper,61.0,39.0,39.0
Owl,Weasel,61.0,39.0,39.0
Poisonous Snake,Vulture,39.0,61.0,39.0
Polar Bear,Succubus/Incubus,39.0,61.0,39.0
Priest,Scout,39.0,61.0,39.0
Quasit,Steam Mephit,61.0,39.0,39.0
Salamander,Wraith,39.0,61.0,39.0
Thug,"Wererat, Human Form",39.0,61.0,39.0
Adult Brass Dragon,Tyrannosaurus Rex,61.5,38.5,38.5
Ancient Brass Dragon,Storm Giant,61.5,38.5,38.5
Ankheg,Merrow,61.5,38.5,38.5
Assassin,"Wereboar, Human Form",61.5,38.5,38.5
Bandit Captain,Basilisk,61.5,38.5,38.5
Bat,Lizard,61.5,38.5,38.5
Bat,Scorpion,61.5,38.5,38.5
Bat,Sprite,38.5,61.5,38.5
Bearded Devil,Black Pudding,38.5,61.5,38.5
Bearded Devil,Hell Hound,38.5,61.5,38.5
Blue Dragon Wyrmling,Gibbering Mouther,61.5,38.5,38.5
Blue Dragon Wyrmling,Medusa,38.5,61.5,38.5
Blue Dragon Wyrmling,Veteran,61.5,38.5,38.5
Boar,Cultist,61.5,38.5,38.5
Brass Dragon Wyrmling,Crocodile,61.5,38.5,38.5
Brass Dragon Wyrmling,Darkmantle,61.5,38.5,38.5
Brass Dragon Wyrmling,Ghoul,61.5,38.5,38.5
Brass Dragon Wyrmling,Specter,38.5,61.5,38.5
Bronze Dragon Wyrmling,Ghast,61.5,38.5,38.5
Clay Golem,Young Brass Dragon,61.5,38.5,38.5
Constrictor Snake,Giant Poisonous Snake,38.5,61.5,38.5
Copper Dragon Wyrmling,Warhorse,61.5,38.5,38.5
Cult Fanatic,Giant Owl,38.5,61.5,38.5
Darkmantle,Giant Owl,61.5,38.5,38.5
Draft Horse,Satyr,38.5,61.5,38.5
Elephant,Erinyes,38.5,61.5,38.5
Flying Sword,Thug,38.5,61.5,38.5
Frost Giant,Young Gold Dragon,38.5,61.5,38.5
Frost Giant,Young Red Dragon,38.5,61.5,38.5
Giant Badger,Pony,38.5,61.5,38.5
Giant Bat,Giant Vulture,61.5,38.5,38.5
Giant Boar,Giant Scorpion,61.5,38.5,38.5
Giant Constrictor Snake,Rhinoceros,61.5,38.5,38.5
Giant Elk,"Wereboar, Boar Form",38.5,61.5,38.5
Giant Elk,"Wereboar, Hybrid Form",38.5,61.5,38.5
Giant Vulture,Rust Monster,38.5,61.5,38.5
Giant Vulture,Thug,38.5,61.5,38.5
Gladiator,Wyvern,61.5,38.5,38.5
Goblin,Sahuagin,38.5,61.5,38.5
Gray Ooze,Pony,61.5,38.5,38.5
Half-Red Dragon Veteran,Owlbear,38.5,61.5,38.5
Hill Giant,Shambling Mound,61.5,38.5,38.5
Hobgoblin,Lizardfolk,38.5,61.5,38.5
Ice Mephit,Skeleton,38.5,61.5,38.5
Invisible Stalker,Minotaur Skeleton,61.5,38.5,38.5
Kobold,Lemure,61.5,38.5,38.5
Kraken,Remorhaz,61.5,38.5,38.5
Lion,Phase Spider,38.5,61.5,38.5
Lizard,Octopus,38.5,61.5,38.5
Lizard,Raven,61.5,38.5,38.5
Lizard,Spider,61.5,38.5,38.5
Medusa,"Wereboar, Human Form",61.5,38.5,38.5
Merrow,Mimic,61.5,38.5,38.5
Merrow,Mummy,38.5,61.5,38.5
Ogre,Vampire Spawn,61.5,38.5,38.5
Pit Fiend,Solar,61.5,38.5,38.5
Rakshasa,Wyvern,61.5,38.5,38.5
Spirit Naga,Winter Wolf,38.5,61.5,38.5
Sprite,Vulture,38.5,61.5,38.5
Spy,Thug,38.5,61.5,38.5
Stone Golem,Young Gold Dragon,61.5,38.5,38.5
Stone Golem,Young Red Dragon,61.5,38.5,38.5
"Werewolf, Hybrid Form",White Dragon Wyrmling,61.5,38.5,38.5
"Werewolf, Wolf Form",White Dragon Wyrmling,61.5,38.5,38.5
Adult Bronze Dragon,Purple Worm,38.0,62.0,38.0
Adult White Dragon,Behir,62.0,38.0,38.0
Air Elemental,Erinyes,38.0,62.0,38.0
Animated Armor,Ettercap,62.0,38.0,38.0
Ankheg,Hell Hound,62.0,38.0,38.0
Awakened Shrub,Deer,62.0,38.0,38.0
Awakened Tree,Troll,62.0,38.0,38.0
Axe Beak,Blink Dog,62.0,38.0,38.0
Azer,Centaur,38.0,62.0,38.0
Baboon,Crab,62.0,38.0,38.0
Bat,Stirge,38.0,62.0,38.0
Berserker,Half-Red Dragon Veteran,38.0,62.0,38.0
Blink Dog,Giant Lizard,38.0,62.0,38.0
Blue Dragon Wyrmling,Sea Hag,62.0,38.0,38.0
Boar,Giant Weasel,38.0,62.0,38.0
Cat,Stirge,38.0,62.0,38.0
Centaur,Green Dragon Wyrmling,62.0,38.0,38.0
Centaur,Merrow,62.0,38.0,38.0
Chain Devil,Couatl,38.0,62.0,38.0
Clay Golem,Hydra,62.0,38.0,38.0
Cockatrice,Giant Poisonous Snake,38.0,62.0,38.0
Cockatrice,Magmin,62.0,38.0,38.0
Constrictor Snake,Ice Mephit,62.0,38.0,38.0
Constrictor Snake,Riding Horse,38.0,62.0,38.0
Cult Fanatic,Scout,62.0,38.0,38.0
Doppelganger,Giant Octopus,62.0,38.0,38.0
Doppelganger,Hunter Shark,38.0,62.0,38.0
Draft Horse,Mage,38.0,62.0,38.0
Dretch,Noble,38.0,62.0,38.0
Dust Mephit,Giant Wasp,62.0,38.0,38.0
Dust Mephit,Panther,62.0,38.0,38.0
Dust Mephit,Sahuagin,62.0,38.0,38.0
Elk,Magmin,62.0,38.0,38.0
Elk,Skeleton,62.0,38.0,38.0
Erinyes,Water Elemental,62.0,38.0,38.0
Fire Elemental,Invisible Stalker,38.0,62.0,38.0
Gelatinous Cube,Pegasus,38.0,62.0,38.0
Ghast,Giant Octopus,38.0,62.0,38.0
Giant Bat,Spy,38.0,62.0,38.0
Giant Bat,"Wererat, Hybrid Form",38.0,62.0,38.0
